
--- RSI|VP-buy m1% (346 entries, 5457%) ---
  SELL | 2020-08-25 07:00 | $    11,613 | Cap: $    32,076 | RSI<30
   BUY | 2020-08-31 13:00 | $    11,720 | Cap: $    32,076 | VP>VAH+1%(7d)
  SELL | 2020-09-02 12:00 | $    11,406 | Cap: $    31,218 | RSI<30
   BUY | 2020-09-13 04:00 | $    10,556 | Cap: $    31,218 | VP>VAH+1%(7d)
  SELL | 2020-09-14 01:00 | $    10,273 | Cap: $    30,381 | RSI<30
   BUY | 2020-09-14 14:00 | $    10,644 | Cap: $    30,381 | RSI>75
  SELL | 2020-09-20 13:00 | $    10,851 | Cap: $    30,971 | RSI<30
   BUY | 2020-09-24 17:00 | $    10,672 | Cap: $    30,971 | RSI>75
  SELL | 2020-09-29 | $    10,696 | Cap: $    31,041 | RSI<30
   BUY | 2020-10-01 12:00 | $    10,903 | Cap: $    31,041 | VP>VAH+1%(7d)
  SELL | 2020-10-02 06:00 | $    10,444 | Cap: $    29,732 | RSI<30
   BUY | 2020-10-08 15:00 | $    10,912 | Cap: $    29,732 | RSI>75
  SELL | 2020-10-13 19:00 | $    11,378 | Cap: $    31,001 | RSI<30
   BUY | 2020-10-19 14:00 | $    11,641 | Cap: $    31,001 | VP>VAH+1%(7d)
  SELL | 2020-10-28 15:00 | $    13,069 | Cap: $    34,805 | RSI<30
   BUY | 2020-10-29 15:00 | $    13,427 | Cap: $    34,805 | VP>VAH+1%(7d)
  SELL | 2020-11-02 13:00 | $    13,298 | Cap: $    34,470 | RSI<30
   BUY | 2020-11-04 | $    14,024 | Cap: $    34,470 | RSI>75
  SELL | 2020-11-07 19:00 | $    14,928 | Cap: $    36,693 | RSI<30
   BUY | 2020-11-07 20:00 | $    14,644 | Cap: $    36,693 | VP>VAH+1%(7d)
  SELL | 2020-11-07 21:00 | $    14,852 | Cap: $    37,216 | RSI<30
   BUY | 2020-11-07 22:00 | $    14,823 | Cap: $    37,216 | VP>VAH+1%(7d)
  SELL | 2020-11-07 23:00 | $    14,800 | Cap: $    37,159 | RSI<30
   BUY | 2020-11-08 | $    14,818 | Cap: $    37,159 | VP>VAH+1%(7d)
